start,end,observed/expected value,%GC
1,200,2.04,10.22
2,201,2.08,10.12
3,202,2.04,10.22
4,203,2,10.33
5,204,2.04,10.22
6,205,2.04,10.22
7,206,2.04,10.22
8,207,2.04,10.22
9,208,1.63,10.22
10,209,1.63,10.22
11,210,1.66,10.12
12,211,1.66,10.12
13,212,1.7,10.01
14,213,1.7,10.01
15,214,1.7,10.01
16,215,1.67,10.12
17,216,1.7,10.01
18,217,1.74,9.9
19,218,1.74,9.9
20,219,1.74,9.9
21,220,1.74,9.9
22,221,1.7,10.01
23,222,1.67,10.12
24,223,1.7,10.01
25,224,1.7,10.01
26,225,1.74,9.9
27,226,1.74,9.9
28,227,1.74,9.9
29,228,1.74,9.9
30,229,1.74,9.9
31,230,1.74,9.9
32,231,1.7,10.01
33,232,1.7,10.01
34,233,1.66,10.12
35,234,2.04,10.22
36,235,2.04,10.22
37,236,2.04,10.22
38,237,2.09,10.12
39,238,1.7,10.01
40,239,1.7,10.01
41,240,1.67,10.12
42,241,1.7,10.01
43,242,1.71,10.01
44,243,1.67,10.12
45,244,1.67,10.12
46,245,1.67,10.12
47,246,1.64,10.22
48,247,1.67,10.12
49,248,1.67,10.12
50,249,1.67,10.12
51,250,1.71,10.01
52,251,1.67,10.12
53,252,1.67,10.12
54,253,1.67,10.12
55,254,1.64,10.22
56,255,2.01,10.33
57,256,2.01,10.33
58,257,1.96,10.44
59,258,2.01,10.33
60,259,1.97,10.44
61,260,1.98,10.44
62,261,1.93,10.54
63,262,1.89,10.65
64,263,1.89,10.65
65,264,1.89,10.65
66,265,1.54,10.54
67,266,1.54,10.54
68,267,1.51,10.65
69,268,1.51,10.65
70,269,1.52,10.65
71,270,1.48,10.76
72,271,1.51,10.65
73,272,1.55,10.54
74,273,1.52,10.65
75,274,1.55,10.54
76,275,1.57,10.44
77,276,1.57,10.44
78,277,1.93,10.54
79,278,1.93,10.54
80,279,1.97,10.44
81,280,1.97,10.44
82,281,1.93,10.54
83,282,1.9,10.65
84,283,1.93,10.54
85,284,1.93,10.54
86,285,2.28,10.65
87,286,2.28,10.65
88,287,2.32,10.54
89,288,2.28,10.65
90,289,2.32,10.54
91,290,2.32,10.54
92,291,2.36,10.44
93,292,2.42,10.33
94,293,2.36,10.44
95,294,2.41,10.33
96,295,2.41,10.33
97,296,2.41,10.33
