# of N's present: 0
%GC overall: 51%
Window Size: 3,Step Size: 4
Nucleotide Position,%GC
1,33.3
5,33.3
9,66.7
13,100
17,66.7
21,66.7
25,33.3
29,66.7
33,100
37,33.3
41,33.3
45,66.7
49,33.3
53,66.7
57,66.7
61,33.3
65,0
69,33.3
73,66.7
77,66.7
81,33.3
85,33.3
89,33.3
93,66.7
97,66.7
101,33.3
105,66.7
109,33.3
113,66.7
117,33.3
121,0
125,66.7
129,33.3
133,66.7
137,33.3
141,33.3
145,33.3
149,66.7
153,33.3
157,100
161,66.7
165,0
169,33.3
173,33.3
177,33.3
181,66.7
185,33.3
189,66.7
193,33.3
197,100
201,66.7
205,100
209,33.3
213,33.3
217,66.7
221,33.3
225,66.7
229,0
233,100
237,66.7
241,33.3
245,66.7
249,33.3
253,66.7
257,33.3
261,66.7
265,33.3
269,66.7
273,33.3
277,33.3
281,33.3
285,66.7
289,66.7
293,33.3
297,33.3
301,100
305,33.3
309,66.7
313,66.7
317,33.3
321,66.7
325,33.3
329,100
333,100
337,66.7
341,100
345,33.3
349,33.3
353,66.7
357,33.3
361,66.7
365,66.7
369,33.3
373,33.3
377,33.3
381,66.7
385,66.7
389,33.3
393,33.3
397,66.7
401,33.3
405,33.3
409,33.3
413,100
417,0
421,33.3
425,66.7
429,33.3
433,66.7
437,66.7
441,100
445,33.3
449,33.3
453,33.3
457,33.3
461,33.3
465,33.3
469,66.7
473,66.7
477,33.3
481,33.3
485,66.7
489,33.3
493,33.3
497,33.3
501,33.3
505,100
509,33.3
513,66.7
517,66.7
521,66.7
525,66.7
529,33.3
533,66.7
537,33.3
541,66.7
545,66.7
549,33.3
553,66.7
557,33.3
561,33.3
565,66.7
569,33.3
573,33.3
577,33.3
581,33.3
585,66.7
589,33.3
593,100
597,100
601,66.7
605,33.3
609,33.3
613,33.3
617,66.7
621,33.3
625,66.7
629,66.7
633,66.7
637,66.7
641,33.3
645,0
649,66.7
653,0
657,66.7
661,66.7
665,66.7
669,66.7
673,66.7
677,100
681,66.7
685,66.7
689,33.3
693,33.3
697,33.3
701,100
705,0
709,66.7
713,33.3
717,66.7
721,66.7
725,66.7
729,33.3
733,66.7
737,66.7
741,66.7
745,100
749,66.7
753,100
757,33.3
761,33.3
765,66.7
769,66.7
773,66.7
777,100
781,33.3
785,33.3
789,66.7
793,66.7
797,33.3
801,33.3
805,66.7
809,0
813,33.3
817,33.3
821,66.7
825,66.7
829,33.3
833,33.3
837,100
841,0
845,33.3
849,33.3
853,33.3
857,0
861,33.3
865,100
869,66.7
873,100
877,0
881,33.3
885,66.7
889,66.7
893,33.3
897,66.7
901,33.3
905,33.3
909,66.7
913,0
917,66.7
921,33.3
925,33.3
929,33.3
933,0
937,33.3
941,33.3
945,100
949,66.7
953,66.7
957,33.3
961,33.3
965,33.3
969,33.3
973,100
977,100
981,33.3
985,33.3
989,0
993,33.3
997,66.7
